Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,300,43222.5,355.5,0.181805791,0.173490312,10,7,0,1,70,ACVA,0,0,1,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,190,27374.25,225.15,0.259724245,0.248929186,12.5,7,0,1,70,ACVA,1,1,0,0,1
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,190,27374.25,225.15,0.259724245,0.248929186,13.5,7,0,1,70,ACVA,1,1,0,0,1
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,170,24492.75,201.45,0.281673288,0.270299052,17.5,7,0,1,70,ACVA,0,1,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,80,11526,94.8,0.454524803,0.440450473,15,7,0,1,70,ACVA,1,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,100,14407.5,118.5,0.39998001,0.386398235,15,7,0,1,70,ACVA,1,1,0,0,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,130,18729.75,154.05,0.338964387,0.326327666,15,7,0,1,70,ACVA,1,1,0,0,1
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,150,21611.25,177.75,0.307674565,0.295682564,15,7,0,1,70,ACVA,0,1,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,180,25933.5,213.3,0.270253843,0.25917436,15,7,0,1,70,ACVA,0,1,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,200,28815,237,0.249984383,0.239463196,15,7,0,1,70,ACVA,0,1,1,0,1
